Scan Date:,2025-05-26 15:56:24Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
166,479.026805536754,101790,1017.9
167,479.111382992383,95496,954.96
168,479.19596024185,85983,859.83
169,479.280537285398,77879,778.79
170,479.365114123274,71006,710.06
171,479.449690755722,66824,668.24
172,479.534267182988,64358,643.58
173,479.618843405317,62964,629.64
174,479.703419422953,65779,657.79
175,479.787995236142,70345,703.45
176,479.87257084513,69580,695.8
177,479.95714625016,66701,667.01
178,480.041721451479,64863,648.63
179,480.126296449331,63886,638.86
180,480.210871243962,65857,658.57
181,480.295445835617,66115,661.15
182,480.380020224541,67078,670.78
183,480.464594410979,66636,666.36
184,480.549168395175,67971,679.71
185,480.633742177377,68248,682.48
186,480.718315757827,65645,656.45
187,480.802889136772,64086,640.86
188,480.887462314457,63035,630.35
189,480.972035291127,61890,618.9
190,481.056608067026,65441,654.41
191,481.141180642401,79040,790.4
192,481.225753017496,80385,803.85
193,481.310325192556,72226,722.26
194,481.394897167827,70504,705.04
195,481.479468943554,68821,688.21
196,481.564040519981,65912,659.12
197,481.648611897354,64142,641.42
198,481.733183075918,62611,626.11
199,481.817754055918,65396,653.96
200,481.9023248376,66013,660.13
201,481.986895421208,67098,670.98
202,482.071465806988,102190,1021.9
203,482.156035995184,109792,1097.92
204,482.240605986042,92605,926.05
205,482.325175779807,81477,814.77
206,482.409745376725,73121,731.21
207,482.494314777039,68041,680.41
208,482.578883980996,65310,653.1
209,482.663452988841,63973,639.73
210,482.748021800818,62710,627.1
211,482.832590417173,62374,623.74
212,482.91715883815,66201,662.01
213,483.001727063996,70126,701.26
214,483.086295094955,68746,687.46
215,483.170862931273,66056,660.56
216,483.255430573193,65145,651.45
217,483.339998020963,67522,675.22
218,483.424565274826,67893,678.93
219,483.509132335028,65499,654.99
220,483.593699201814,63945,639.45
221,483.678265875429,66245,662.45
222,483.762832356118,66234,662.34
223,483.847398644127,63999,639.99
224,483.9319647397,66258,662.58
225,484.016530643083,77989,779.89
226,484.101096354521,79551,795.51
227,484.185661874258,72892,728.92
228,484.270227202541,68204,682.04
229,484.354792339614,65466,654.66
230,484.439357285722,64397,643.97
231,484.523922041111,67130,671.3
232,484.608486606025,70211,702.11
233,484.69305098071,68852,688.52
234,484.777615165411,67645,676.45
235,484.862179160373,69726,697.26
236,484.946742965841,68661,686.61
237,485.03130658206,68722,687.22
238,485.115870009276,71285,712.85
239,485.200433247733,70011,700.11
240,485.284996297677,66999,669.99
241,485.369559159353,89568,895.68
242,485.454121833005,98373,983.73
243,485.53868431888,85108,851.08
244,485.623246617222,76280,762.8
245,485.707808728276,70917,709.17
246,485.792370652288,67050,670.5
247,485.876932389502,67855,678.55
248,485.961493940164,67402,674.02
249,486.046055304519,64905,649.05
250,486.130616482813,64411,644.11
251,486.215177475289,64459,644.59
252,486.299738282193,70424,704.24
253,486.384298903771,71895,718.95
254,486.468859340268,67804,678.04
255,486.553419591928,64912,649.12
256,486.637979658997,63902,639.02
257,486.722539541719,63132,631.32
258,486.807099240341,65264,652.64
259,486.891658755108,65736,657.36
260,486.976218086263,63673,636.73
261,487.060777234053,62836,628.36
262,487.145336198723,62373,623.73
263,487.229894980517,61756,617.56
264,487.314453579682,62002,620.02
265,487.399011996461,62083,620.83
266,487.483570231101,61822,618.22
267,487.568128283845,61849,618.49
268,487.652686154941,61621,616.21
269,487.737243844632,61805,618.05
