Scan Date:,2025-05-26 16:21:52Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
0,464.9839,50794,507.94
1,465.068515076491,49821,498.21
2,465.153129906126,50213,502.13
3,465.237744489151,50246,502.46
4,465.322358825812,50024,500.24
5,465.406972916352,50006,500.06
6,465.491586761018,50045,500.45
7,465.576200360054,50136,501.36
8,465.660813713705,50194,501.94
9,465.745426822218,50262,502.62
10,465.830039685836,50422,504.22
11,465.914652304805,50606,506.06
12,465.99926467937,50584,505.84
13,466.083876809776,50890,508.9
14,466.168488696269,51130,511.3
15,466.253100339093,193941,1939.41
16,466.337711738494,234372,2343.72
17,466.422322894716,158759,1587.59
18,466.506933808006,113974,1139.74
19,466.591544478607,88160,881.6
20,466.676154906766,73341,733.41
21,466.760765092726,64848,648.48
22,466.845375036735,63276,632.76
23,466.929984739036,61977,619.77
24,467.014594199874,59291,592.91
25,467.099203419495,57352,573.52
26,467.183812398145,55709,557.09
27,467.268421136067,55156,551.56
28,467.353029633508,85274,852.74
29,467.437637890711,95660,956.6
30,467.522245907924,83425,834.25
31,467.60685368539,73557,735.57
32,467.691461223355,65380,653.8
33,467.776068522063,61036,610.36
34,467.860675581761,58333,583.33
35,467.945282402693,61324,613.24
36,468.029888985104,68173,681.73
37,468.11449532924,66930,669.3
38,468.199101435345,64954,649.54
39,468.283707303665,62470,624.7
40,468.368312934445,58911,589.11
41,468.45291832793,60200,602
42,468.537523484364,63181,631.81
43,468.622128403994,87020,870.2
44,468.706733087065,97926,979.26
45,468.791337533821,84559,845.59
46,468.875941744507,71553,715.53
47,468.96054571937,64649,646.49
48,469.045149458653,61032,610.32
49,469.129752962602,58659,586.59
50,469.214356231462,56875,568.75
51,469.298959265479,55993,559.93
52,469.383562064897,55631,556.31
53,469.468164629962,55230,552.3
54,469.552766960919,57847,578.47
55,469.637369058012,62316,623.16
56,469.721970921487,61608,616.08
57,469.80657255159,59290,592.9
58,469.891173948565,61117,611.17
59,469.975775112657,60300,603
60,470.060376044111,57342,573.42
61,470.144976743173,55830,558.3
62,470.229577210088,58724,587.24
63,470.314177445101,59441,594.41
64,470.398777448457,60886,608.86
65,470.483377220402,84903,849.03
66,470.567976761179,92418,924.18
67,470.652576071035,80767,807.67
68,470.737175150215,70802,708.02
69,470.821773998963,63926,639.26
70,470.906372617525,63460,634.6
71,470.990971006146,61834,618.34
72,471.075569165072,93364,933.64
73,471.160167094546,101761,1017.61
74,471.244764794815,86099,860.99
75,471.329362266123,75304,753.04
76,471.413959508717,69966,699.66
77,471.498556522839,72930,729.3
78,471.583153308737,73775,737.75
79,471.667749866655,70325,703.25
80,471.752346196838,69277,692.77
81,471.836942299532,69285,692.85
82,471.921538174981,73058,730.58
83,472.00613382343,70764,707.64
84,472.090729245126,64097,640.97
85,472.175324440312,59965,599.65
86,472.259919409234,60926,609.26
87,472.344514152137,60552,605.52
88,472.429108669267,57659,576.59
89,472.513702960868,57398,573.98
90,472.598297027185,59108,591.08
91,472.682890868465,58885,588.85
92,472.767484484951,56763,567.63
93,472.852077876889,55005,550.05
94,472.936671044524,57998,579.98
95,473.021263988101,59094,590.94
96,473.105856707865,57763,577.63
97,473.190449204062,62686,626.86
98,473.275041476937,78926,789.26
99,473.359633526735,86046,860.46
100,473.4442253537,77363,773.63
101,473.528816958078,70812,708.12
102,473.613408340115,69354,693.54
103,473.697999500055,65470,654.7
104,473.782590438143,60796,607.96
105,473.867181154625,58620,586.2
106,473.951771649745,61425,614.25
107,474.03636192375,61209,612.09
108,474.120951976883,58679,586.79
109,474.20554180939,57453,574.53
110,474.290131421517,56278,562.78
111,474.374720813508,59473,594.73
112,474.459309985608,60177,601.77
113,474.543898938063,57678,576.78
114,474.628487671118,56089,560.89
115,474.713076185018,55546,555.46
116,474.797664480008,59055,590.55
117,474.882252556332,91461,914.61
118,474.966840414238,101312,1013.12
119,475.051428053968,119775,1197.75
120,475.13601547577,117138,1171.38
121,475.220602679887,90496,904.96
122,475.305189666564,74662,746.62
123,475.389776436048,65714,657.14
124,475.474362988583,60927,609.27
125,475.558949324414,57952,579.52
126,475.643535443787,56392,563.92
127,475.728121346946,55792,557.92
128,475.812707034136,55220,552.2
129,475.897292505604,79758,797.58
130,475.981877761593,91033,910.33
