Scan Date:,2025-05-26 15:42:18Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
0,464.9839,63955,639.55
1,465.068515076491,63150,631.5
2,465.153129906126,63410,634.1
3,465.237744489151,63422,634.22
4,465.322358825812,63265,632.65
5,465.406972916352,63343,633.43
6,465.491586761018,63307,633.07
7,465.576200360054,63219,632.19
8,465.660813713705,63060,630.6
9,465.745426822218,62889,628.89
10,465.830039685836,63264,632.64
11,465.914652304805,63429,634.29
12,465.99926467937,63543,635.43
13,466.083876809776,63710,637.1
14,466.168488696269,63745,637.45
15,466.253100339093,195443,1954.43
16,466.337711738494,233121,2331.21
17,466.422322894716,163321,1633.21
18,466.506933808006,121837,1218.37
19,466.591544478607,98152,981.52
20,466.676154906766,84497,844.97
21,466.760765092726,76728,767.28
22,466.845375036735,75433,754.33
23,466.929984739036,74330,743.3
24,467.014594199874,71858,718.58
25,467.099203419495,70171,701.71
26,467.183812398145,68778,687.78
27,467.268421136067,68053,680.53
28,467.353029633508,96073,960.73
29,467.437637890711,105638,1056.38
30,467.522245907924,93982,939.82
31,467.60685368539,84391,843.91
32,467.691461223355,76757,767.57
33,467.776068522063,72795,727.95
34,467.860675581761,70228,702.28
35,467.945282402693,73043,730.43
36,468.029888985104,79232,792.32
37,468.11449532924,78240,782.4
38,468.199101435345,76565,765.65
39,468.283707303665,74351,743.51
40,468.368312934445,70957,709.57
41,468.45291832793,72392,723.92
42,468.537523484364,75044,750.44
43,468.622128403994,97277,972.77
44,468.706733087065,107474,1074.74
45,468.791337533821,95027,950.27
46,468.875941744507,82939,829.39
47,468.96054571937,76389,763.89
48,469.045149458653,72872,728.72
49,469.129752962602,70583,705.83
50,469.214356231462,68823,688.23
51,469.298959265479,67885,678.85
52,469.383562064897,67536,675.36
53,469.468164629962,67586,675.86
54,469.552766960919,70441,704.41
55,469.637369058012,74378,743.78
56,469.721970921487,73485,734.85
57,469.80657255159,71213,712.13
58,469.891173948565,72657,726.57
59,469.975775112657,72091,720.91
60,470.060376044111,69453,694.53
61,470.144976743173,68164,681.64
62,470.229577210088,70982,709.82
63,470.314177445101,71679,716.79
64,470.398777448457,73138,731.38
65,470.483377220402,95510,955.1
66,470.567976761179,101978,1019.78
67,470.652576071035,91222,912.22
68,470.737175150215,82060,820.6
69,470.821773998963,75747,757.47
70,470.906372617525,75221,752.21
71,470.990971006146,73625,736.25
72,471.075569165072,102891,1028.91
73,471.160167094546,110834,1108.34
74,471.244764794815,96309,963.09
75,471.329362266123,86313,863.13
76,471.413959508717,81382,813.82
77,471.498556522839,83815,838.15
78,471.583153308737,84637,846.37
79,471.667749866655,81414,814.14
80,471.752346196838,80403,804.03
81,471.836942299532,80414,804.14
82,471.921538174981,83824,838.24
83,472.00613382343,81818,818.18
84,472.090729245126,75917,759.17
85,472.175324440312,72119,721.19
86,472.259919409234,72988,729.88
87,472.344514152137,72255,722.55
88,472.429108669267,69657,696.57
89,472.513702960868,69248,692.48
90,472.598297027185,70933,709.33
91,472.682890868465,70707,707.07
92,472.767484484951,68639,686.39
93,472.852077876889,67182,671.82
94,472.936671044524,70052,700.52
95,473.021263988101,71054,710.54
96,473.105856707865,69611,696.11
97,473.190449204062,74102,741.02
98,473.275041476937,89179,891.79
99,473.359633526735,95669,956.69
100,473.4442253537,87483,874.83
101,473.528816958078,81703,817.03
102,473.613408340115,80357,803.57
103,473.697999500055,76531,765.31
104,473.782590438143,72587,725.87
105,473.867181154625,70838,708.38
106,473.951771649745,73441,734.41
107,474.03636192375,73048,730.48
108,474.120951976883,70630,706.3
109,474.20554180939,69384,693.84
110,474.290131421517,68432,684.32
111,474.374720813508,71580,715.8
112,474.459309985608,71969,719.69
113,474.543898938063,69657,696.57
114,474.628487671118,68564,685.64
115,474.713076185018,67948,679.48
116,474.797664480008,71337,713.37
117,474.882252556332,101365,1013.65
118,474.966840414238,110110,1101.1
119,475.051428053968,127180,1271.8
120,475.13601547577,125095,1250.95
121,475.220602679887,100622,1006.22
122,475.305189666564,85590,855.9
123,475.389776436048,77165,771.65
124,475.474362988583,72549,725.49
125,475.558949324414,69739,697.39
126,475.643535443787,68317,683.17
127,475.728121346946,67626,676.26
128,475.812707034136,66975,669.75
129,475.897292505604,89636,896.36
130,475.981877761593,100701,1007.01
131,476.066462802349,92621,926.21
132,476.151047628118,86288,862.88
133,476.235632239144,79622,796.22
134,476.320216635672,73797,737.97
135,476.404800817948,74049,740.49
136,476.489384786216,73466,734.66
137,476.573968540723,75150,751.5
138,476.658552081712,94140,941.4
139,476.74313540943,96400,964
140,476.827718524121,84580,845.8
141,476.91230142603,76993,769.93
142,476.996884115403,75536,755.36
