Scan Date:,2025-05-24 15:22:22Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
0,464.9839,78110,781.1
1,465.068515076491,77381,773.81
2,465.153129906126,77342,773.42
3,465.237744489151,77592,775.92
4,465.322358825812,77532,775.32
5,465.406972916352,77744,777.44
6,465.491586761018,77735,777.35
7,465.576200360054,77521,775.21
8,465.660813713705,77425,774.25
9,465.745426822218,77503,775.03
10,465.830039685836,77584,775.84
11,465.914652304805,77857,778.57
12,465.99926467937,78012,780.12
13,466.083876809776,78219,782.19
14,466.168488696269,78553,785.53
15,466.253100339093,198320,1983.2
16,466.337711738494,232063,2320.63
17,466.422322894716,168459,1684.59
18,466.506933808006,130732,1307.32
19,466.591544478607,109105,1091.05
20,466.676154906766,96819,968.19
21,466.760765092726,89808,898.08
22,466.845375036735,88568,885.68
23,466.929984739036,87476,874.76
24,467.014594199874,85360,853.6
25,467.099203419495,83770,837.7
26,467.183812398145,82325,823.25
27,467.268421136067,81490,814.9
28,467.353029633508,106900,1069
29,467.437637890711,115692,1156.92
30,467.522245907924,105404,1054.04
31,467.60685368539,97157,971.57
32,467.691461223355,90118,901.18
33,467.776068522063,86286,862.86
34,467.860675581761,84077,840.77
35,467.945282402693,86569,865.69
36,468.029888985104,91998,919.98
37,468.11449532924,91130,911.3
38,468.199101435345,89840,898.4
39,468.283707303665,87923,879.23
40,468.368312934445,84556,845.56
41,468.45291832793,85426,854.26
42,468.537523484364,88044,880.44
43,468.622128403994,108425,1084.25
44,468.706733087065,117639,1176.39
45,468.791337533821,106022,1060.22
46,468.875941744507,94735,947.35
47,468.96054571937,89051,890.51
48,469.045149458653,86169,861.69
49,469.129752962602,84397,843.97
50,469.214356231462,83023,830.23
51,469.298959265479,82181,821.81
52,469.383562064897,81876,818.76
53,469.468164629962,81678,816.78
54,469.552766960919,83987,839.87
55,469.637369058012,87689,876.89
56,469.721970921487,87199,871.99
57,469.80657255159,85167,851.67
58,469.891173948565,86230,862.3
59,469.975775112657,85416,854.16
60,470.060376044111,83006,830.06
61,470.144976743173,81854,818.54
62,470.229577210088,84314,843.14
63,470.314177445101,84707,847.07
64,470.398777448457,86103,861.03
65,470.483377220402,106650,1066.5
66,470.567976761179,113030,1130.3
67,470.652576071035,103268,1032.68
68,470.737175150215,94699,946.99
69,470.821773998963,88810,888.1
70,470.906372617525,88338,883.38
71,470.990971006146,87018,870.18
72,471.075569165072,113723,1137.23
73,471.160167094546,120642,1206.42
74,471.244764794815,107498,1074.98
75,471.329362266123,98438,984.38
76,471.413959508717,93990,939.9
77,471.498556522839,96368,963.68
78,471.583153308737,96909,969.09
79,471.667749866655,94174,941.74
80,471.752346196838,93357,933.57
81,471.836942299532,93216,932.16
82,471.921538174981,96637,966.37
83,472.00613382343,94797,947.97
84,472.090729245126,89164,891.64
85,472.175324440312,85357,853.57
86,472.259919409234,85739,857.39
87,472.344514152137,85243,852.43
88,472.429108669267,83016,830.16
89,472.513702960868,83150,831.5
90,472.598297027185,84813,848.13
91,472.682890868465,84417,844.17
92,472.767484484951,82682,826.82
93,472.852077876889,81350,813.5
94,472.936671044524,83592,835.92
95,473.021263988101,84564,845.64
96,473.105856707865,83508,835.08
97,473.190449204062,87885,878.85
98,473.275041476937,101608,1016.08
99,473.359633526735,107385,1073.85
100,473.4442253537,99869,998.69
101,473.528816958078,94535,945.35
102,473.613408340115,93288,932.88
103,473.697999500055,89883,898.83
104,473.782590438143,86034,860.34
105,473.867181154625,83894,838.94
106,473.951771649745,86385,863.85
107,474.03636192375,86288,862.88
108,474.120951976883,84119,841.19
109,474.20554180939,83168,831.68
110,474.290131421517,82466,824.66
111,474.374720813508,85380,853.8
112,474.459309985608,85714,857.14
113,474.543898938063,83482,834.82
114,474.628487671118,82147,821.47
115,474.713076185018,81571,815.71
116,474.797664480008,84683,846.83
117,474.882252556332,112445,1124.45
118,474.966840414238,120394,1203.94
119,475.051428053968,136555,1365.55
120,475.13601547577,134989,1349.89
121,475.220602679887,112362,1123.62
122,475.305189666564,98543,985.43
123,475.389776436048,90720,907.2
124,475.474362988583,86466,864.66
125,475.558949324414,83635,836.35
126,475.643535443787,82431,824.31
127,475.728121346946,82129,821.29
128,475.812707034136,81550,815.5
129,475.897292505604,102484,1024.84
130,475.981877761593,112192,1121.92
131,476.066462802349,104344,1043.44
132,476.151047628118,98785,987.85
133,476.235632239144,92705,927.05
134,476.320216635672,87060,870.6
135,476.404800817948,87251,872.51
136,476.489384786216,86948,869.48
137,476.573968540723,88524,885.24
138,476.658552081712,105971,1059.71
139,476.74313540943,108238,1082.38
140,476.827718524121,97461,974.61
