Scan Date:,2025-05-24 15:53:25Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
0,464.9839,37869,378.69
1,465.068515076491,37258,372.58
2,465.153129906126,37639,376.39
3,465.237744489151,37689,376.89
4,465.322358825812,37519,375.19
5,465.406972916352,37572,375.72
6,465.491586761018,37606,376.06
7,465.576200360054,37566,375.66
8,465.660813713705,37623,376.23
9,465.745426822218,37730,377.3
10,465.830039685836,37728,377.28
11,465.914652304805,37762,377.62
12,465.99926467937,37727,377.27
13,466.083876809776,37790,377.9
14,466.168488696269,37811,378.11
15,466.253100339093,195575,1955.75
16,466.337711738494,240731,2407.31
17,466.422322894716,157429,1574.29
18,466.506933808006,107765,1077.65
19,466.591544478607,79149,791.49
20,466.676154906766,62884,628.84
21,466.760765092726,53466,534.66
22,466.845375036735,51839,518.39
23,466.929984739036,50390,503.9
24,467.014594199874,47464,474.64
25,467.099203419495,45372,453.72
26,467.183812398145,43617,436.17
27,467.268421136067,42681,426.81
28,467.353029633508,75165,751.65
29,467.437637890711,86356,863.56
30,467.522245907924,73158,731.58
31,467.60685368539,62459,624.59
32,467.691461223355,53404,534.04
33,467.776068522063,48731,487.31
34,467.860675581761,45949,459.49
35,467.945282402693,49521,495.21
36,468.029888985104,56756,567.56
37,468.11449532924,55223,552.23
38,468.199101435345,53076,530.76
39,468.283707303665,50632,506.32
40,468.368312934445,46431,464.31
41,468.45291832793,47512,475.12
42,468.537523484364,50815,508.15
43,468.622128403994,76595,765.95
44,468.706733087065,88224,882.24
45,468.791337533821,73799,737.99
46,468.875941744507,59761,597.61
47,468.96054571937,52572,525.72
48,469.045149458653,48597,485.97
49,469.129752962602,45911,459.11
50,469.214356231462,43847,438.47
51,469.298959265479,42713,427.13
52,469.383562064897,42598,425.98
53,469.468164629962,42634,426.34
54,469.552766960919,45647,456.47
55,469.637369058012,50203,502.03
56,469.721970921487,49240,492.4
57,469.80657255159,46515,465.15
58,469.891173948565,47926,479.26
59,469.975775112657,47255,472.55
60,470.060376044111,44434,444.34
61,470.144976743173,42811,428.11
62,470.229577210088,45895,458.95
63,470.314177445101,46846,468.46
64,470.398777448457,48649,486.49
65,470.483377220402,74580,745.8
66,470.567976761179,82507,825.07
67,470.652576071035,70047,700.47
68,470.737175150215,59163,591.63
69,470.821773998963,51540,515.4
70,470.906372617525,50869,508.69
71,470.990971006146,49528,495.28
72,471.075569165072,83793,837.93
73,471.160167094546,92677,926.77
74,471.244764794815,75769,757.69
75,471.329362266123,64130,641.3
76,471.413959508717,58384,583.84
77,471.498556522839,61099,610.99
78,471.583153308737,61613,616.13
79,471.667749866655,57735,577.35
80,471.752346196838,56264,562.64
81,471.836942299532,56324,563.24
82,471.921538174981,60908,609.08
83,472.00613382343,58624,586.24
84,472.090729245126,51316,513.16
85,472.175324440312,46849,468.49
86,472.259919409234,47998,479.98
87,472.344514152137,47425,474.25
88,472.429108669267,44405,444.05
89,472.513702960868,44169,441.69
90,472.598297027185,46345,463.45
91,472.682890868465,46010,460.1
92,472.767484484951,43798,437.98
93,472.852077876889,42213,422.13
94,472.936671044524,45228,452.28
95,473.021263988101,46245,462.45
96,473.105856707865,44943,449.43
97,473.190449204062,50464,504.64
98,473.275041476937,68130,681.3
99,473.359633526735,75635,756.35
100,473.4442253537,65847,658.47
101,473.528816958078,58636,586.36
102,473.613408340115,56894,568.94
103,473.697999500055,52589,525.89
104,473.782590438143,47945,479.45
