Scan Date:,2025-05-26 16:27:54Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
0,464.9839,49244,492.44
1,465.068515076491,48776,487.76
2,465.153129906126,48847,488.47
3,465.237744489151,48690,486.9
4,465.322358825812,48741,487.41
5,465.406972916352,48898,488.98
6,465.491586761018,48821,488.21
7,465.576200360054,48851,488.51
8,465.660813713705,48871,488.71
9,465.745426822218,48999,489.99
10,465.830039685836,49112,491.12
11,465.914652304805,49325,493.25
12,465.99926467937,49417,494.17
13,466.083876809776,49225,492.25
14,466.168488696269,49111,491.11
15,466.253100339093,195097,1950.97
16,466.337711738494,236655,2366.55
17,466.422322894716,159558,1595.58
18,466.506933808006,114044,1140.44
19,466.591544478607,87529,875.29
20,466.676154906766,72137,721.37
21,466.760765092726,63349,633.49
22,466.845375036735,62049,620.49
23,466.929984739036,60887,608.87
24,467.014594199874,58112,581.12
25,467.099203419495,56184,561.84
26,467.183812398145,54551,545.51
27,467.268421136067,53635,536.35
28,467.353029633508,83692,836.92
29,467.437637890711,94005,940.05
30,467.522245907924,81690,816.9
31,467.60685368539,71760,717.6
32,467.691461223355,63555,635.55
33,467.776068522063,59178,591.78
34,467.860675581761,56458,564.58
35,467.945282402693,59678,596.78
36,468.029888985104,66664,666.64
37,468.11449532924,65766,657.66
38,468.199101435345,64034,640.34
39,468.283707303665,61648,616.48
40,468.368312934445,57875,578.75
41,468.45291832793,59256,592.56
42,468.537523484364,62370,623.7
43,468.622128403994,86586,865.86
44,468.706733087065,97531,975.31
45,468.791337533821,83865,838.65
46,468.875941744507,70527,705.27
47,468.96054571937,63623,636.23
48,469.045149458653,59892,598.92
49,469.129752962602,57394,573.94
50,469.214356231462,55504,555.04
51,469.298959265479,54641,546.41
52,469.383562064897,54398,543.98
53,469.468164629962,53932,539.32
54,469.552766960919,56656,566.56
55,469.637369058012,61043,610.43
56,469.721970921487,60329,603.29
57,469.80657255159,57969,579.69
58,469.891173948565,59637,596.37
59,469.975775112657,59222,592.22
60,470.060376044111,56486,564.86
61,470.144976743173,55079,550.79
