Scan Date:,2025-05-26 15:51:59Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
0,464.9839,59676,596.76
1,465.068515076491,58730,587.3
2,465.153129906126,58798,587.98
3,465.237744489151,58534,585.34
4,465.322358825812,58593,585.93
5,465.406972916352,58740,587.4
6,465.491586761018,59005,590.05
7,465.576200360054,59111,591.11
8,465.660813713705,59116,591.16
9,465.745426822218,59356,593.56
10,465.830039685836,59231,592.31
11,465.914652304805,59301,593.01
12,465.99926467937,59597,595.97
13,466.083876809776,59450,594.5
14,466.168488696269,59262,592.62
15,466.253100339093,194239,1942.39
16,466.337711738494,232698,2326.98
17,466.422322894716,161389,1613.89
18,466.506933808006,119283,1192.83
19,466.591544478607,94779,947.79
20,466.676154906766,80657,806.57
21,466.760765092726,72697,726.97
22,466.845375036735,71284,712.84
23,466.929984739036,70235,702.35
24,467.014594199874,67678,676.78
25,467.099203419495,65770,657.7
26,467.183812398145,64345,643.45
27,467.268421136067,63641,636.41
28,467.353029633508,92023,920.23
29,467.437637890711,101773,1017.73
30,467.522245907924,90157,901.57
31,467.60685368539,80893,808.93
32,467.691461223355,73152,731.52
33,467.776068522063,68927,689.27
34,467.860675581761,66463,664.63
35,467.945282402693,69780,697.8
36,468.029888985104,76352,763.52
37,468.11449532924,75546,755.46
38,468.199101435345,73788,737.88
39,468.283707303665,71609,716.09
40,468.368312934445,68093,680.93
41,468.45291832793,69355,693.55
42,468.537523484364,72171,721.71
43,468.622128403994,95109,951.09
44,468.706733087065,105370,1053.7
45,468.791337533821,92305,923.05
46,468.875941744507,79829,798.29
47,468.96054571937,73412,734.12
48,469.045149458653,70146,701.46
49,469.129752962602,67972,679.72
50,469.214356231462,66157,661.57
51,469.298959265479,65257,652.57
52,469.383562064897,65149,651.49
53,469.468164629962,64871,648.71
54,469.552766960919,67363,673.63
55,469.637369058012,71576,715.76
56,469.721970921487,70586,705.86
57,469.80657255159,68272,682.72
58,469.891173948565,69781,697.81
59,469.975775112657,69205,692.05
60,470.060376044111,66569,665.69
61,470.144976743173,65354,653.54
62,470.229577210088,68168,681.68
63,470.314177445101,68821,688.21
64,470.398777448457,70142,701.42
65,470.483377220402,92941,929.41
66,470.567976761179,100206,1002.06
67,470.652576071035,88983,889.83
68,470.737175150215,79108,791.08
69,470.821773998963,72506,725.06
70,470.906372617525,71981,719.81
71,470.990971006146,70548,705.48
72,471.075569165072,100679,1006.79
73,471.160167094546,108916,1089.16
74,471.244764794815,94072,940.72
75,471.329362266123,83688,836.88
76,471.413959508717,78438,784.38
77,471.498556522839,81035,810.35
78,471.583153308737,81911,819.11
79,471.667749866655,78772,787.72
80,471.752346196838,77620,776.2
81,471.836942299532,77380,773.8
82,471.921538174981,80912,809.12
83,472.00613382343,78717,787.17
