Scan Date:,2025-05-24 16:22:59Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
0,464.9839,25668,256.68
1,465.068515076491,25230,252.3
2,465.153129906126,25358,253.58
3,465.237744489151,25086,250.86
4,465.322358825812,24882,248.82
5,465.406972916352,25078,250.78
6,465.491586761018,25020,250.2
7,465.576200360054,24767,247.67
8,465.660813713705,24581,245.81
9,465.745426822218,24703,247.03
10,465.830039685836,24742,247.42
11,465.914652304805,24847,248.47
12,465.99926467937,24995,249.95
13,466.083876809776,24801,248.01
14,466.168488696269,24865,248.65
15,466.253100339093,197159,1971.59
16,466.337711738494,245941,2459.41
17,466.422322894716,154899,1548.99
18,466.506933808006,100942,1009.42
19,466.591544478607,69883,698.83
20,466.676154906766,52043,520.43
21,466.760765092726,41772,417.72
22,466.845375036735,39990,399.9
23,466.929984739036,38531,385.31
24,467.014594199874,35311,353.11
25,467.099203419495,32855,328.55
26,467.183812398145,30932,309.32
27,467.268421136067,30010,300.1
28,467.353029633508,65233,652.33
29,467.437637890711,77433,774.33
30,467.522245907924,63606,636.06
31,467.60685368539,52194,521.94
32,467.691461223355,42264,422.64
33,467.776068522063,37156,371.56
34,467.860675581761,34097,340.97
35,467.945282402693,37701,377.01
36,468.029888985104,45715,457.15
37,468.11449532924,44295,442.95
38,468.199101435345,41756,417.56
39,468.283707303665,38668,386.68
40,468.368312934445,34347,343.47
41,468.45291832793,36023,360.23
42,468.537523484364,39679,396.79
43,468.622128403994,67449,674.49
44,468.706733087065,80419,804.19
45,468.791337533821,64875,648.75
46,468.875941744507,49533,495.33
47,468.96054571937,41237,412.37
48,469.045149458653,36828,368.28
49,469.129752962602,33913,339.13
50,469.214356231462,31611,316.11
51,469.298959265479,30467,304.67
52,469.383562064897,30084,300.84
53,469.468164629962,29894,298.94
54,469.552766960919,33515,335.15
55,469.637369058012,38828,388.28
56,469.721970921487,37639,376.39
57,469.80657255159,34713,347.13
58,469.891173948565,36430,364.3
59,469.975775112657,35508,355.08
60,470.060376044111,32583,325.83
61,470.144976743173,31224,312.24
62,470.229577210088,34853,348.53
63,470.314177445101,35490,354.9
64,470.398777448457,37104,371.04
65,470.483377220402,65017,650.17
66,470.567976761179,73604,736.04
67,470.652576071035,59997,599.97
68,470.737175150215,48212,482.12
69,470.821773998963,40334,403.34
70,470.906372617525,39646,396.46
71,470.990971006146,37744,377.44
72,471.075569165072,74963,749.63
73,471.160167094546,84779,847.79
74,471.244764794815,66465,664.65
75,471.329362266123,53755,537.55
76,471.413959508717,47376,473.76
77,471.498556522839,50392,503.92
78,471.583153308737,51348,513.48
79,471.667749866655,47673,476.73
80,471.752346196838,46216,462.16
81,471.836942299532,46148,461.48
82,471.921538174981,50914,509.14
83,472.00613382343,48173,481.73
84,472.090729245126,40367,403.67
85,472.175324440312,35211,352.11
86,472.259919409234,36133,361.33
87,472.344514152137,35598,355.98
88,472.429108669267,32344,323.44
89,472.513702960868,32009,320.09
90,472.598297027185,34074,340.74
91,472.682890868465,33662,336.62
92,472.767484484951,31277,312.77
93,472.852077876889,29618,296.18
94,472.936671044524,33067,330.67
95,473.021263988101,34240,342.4
96,473.105856707865,32648,326.48
97,473.190449204062,38795,387.95
98,473.275041476937,58201,582.01
99,473.359633526735,66483,664.83
100,473.4442253537,55633,556.33
101,473.528816958078,47833,478.33
102,473.613408340115,46333,463.33
103,473.697999500055,42062,420.62
104,473.782590438143,36692,366.92
105,473.867181154625,34095,340.95
106,473.951771649745,37517,375.17
107,474.03636192375,37396,373.96
108,474.120951976883,34369,343.69
109,474.20554180939,32842,328.42
110,474.290131421517,31651,316.51
111,474.374720813508,35518,355.18
112,474.459309985608,35922,359.22
113,474.543898938063,32951,329.51
