Scan Date:,2025-05-26 15:04:40Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
181,480.295445835617,110950,1109.5
182,480.380020224541,111868,1118.68
183,480.464594410979,111568,1115.68
184,480.549168395175,112682,1126.82
185,480.633742177377,112219,1122.19
186,480.718315757827,109860,1098.6
187,480.802889136772,108659,1086.59
188,480.887462314457,108248,1082.48
189,480.972035291127,108224,1082.24
190,481.056608067026,110906,1109.06
191,481.141180642401,120779,1207.79
192,481.225753017496,121487,1214.87
193,481.310325192556,115104,1151.04
194,481.394897167827,114090,1140.9
195,481.479468943554,113019,1130.19
196,481.564040519981,110886,1108.86
197,481.648611897354,109623,1096.23
198,481.733183075918,108581,1085.81
199,481.817754055918,110672,1106.72
200,481.9023248376,110871,1108.71
201,481.986895421208,111454,1114.54
202,482.071465806988,138085,1380.85
203,482.156035995184,144030,1440.3
204,482.240605986042,130922,1309.22
205,482.325175779807,122403,1224.03
206,482.409745376725,116217,1162.17
207,482.494314777039,112581,1125.81
208,482.578883980996,110460,1104.6
209,482.663452988841,109301,1093.01
210,482.748021800818,108623,1086.23
211,482.832590417173,108558,1085.58
212,482.91715883815,111147,1111.47
213,483.001727063996,114029,1140.29
214,483.086295094955,113153,1131.53
215,483.170862931273,110960,1109.6
216,483.255430573193,110112,1101.12
217,483.339998020963,112065,1120.65
218,483.424565274826,112839,1128.39
219,483.509132335028,111143,1111.43
220,483.593699201814,109828,1098.28
221,483.678265875429,111300,1113
222,483.762832356118,111399,1113.99
223,483.847398644127,109609,1096.09
224,483.9319647397,111207,1112.07
225,484.016530643083,120058,1200.58
226,484.101096354521,121007,1210.07
227,484.185661874258,116166,1161.66
228,484.270227202541,112681,1126.81
229,484.354792339614,110381,1103.81
230,484.439357285722,109555,1095.55
231,484.523922041111,111735,1117.35
232,484.608486606025,114134,1141.34
233,484.69305098071,113136,1131.36
234,484.777615165411,112215,1122.15
235,484.862179160373,113752,1137.52
236,484.946742965841,113307,1133.07
237,485.03130658206,113587,1135.87
238,485.115870009276,115469,1154.69
239,485.200433247733,114120,1141.2
240,485.284996297677,111673,1116.73
241,485.369559159353,128219,1282.19
242,485.454121833005,134736,1347.36
243,485.53868431888,125399,1253.99
244,485.623246617222,118989,1189.89
245,485.707808728276,114749,1147.49
246,485.792370652288,111598,1115.98
247,485.876932389502,112194,1121.94
248,485.961493940164,111742,1117.42
249,486.046055304519,109778,1097.78
250,486.130616482813,109379,1093.79
251,486.215177475289,109394,1093.94
252,486.299738282193,114111,1141.11
253,486.384298903771,115258,1152.58
254,486.468859340268,112267,1122.67
255,486.553419591928,110175,1101.75
256,486.637979658997,109131,1091.31
257,486.722539541719,108252,1082.52
258,486.807099240341,110074,1100.74
259,486.891658755108,110686,1106.86
260,486.976218086263,109604,1096.04
261,487.060777234053,109033,1090.33
262,487.145336198723,108446,1084.46
263,487.229894980517,108245,1082.45
264,487.314453579682,108575,1085.75
265,487.399011996461,108536,1085.36
266,487.483570231101,108044,1080.44
267,487.568128283845,108055,1080.55
268,487.652686154941,108040,1080.4
269,487.737243844632,107950,1079.5
270,487.821801353163,110993,1109.93
271,487.906358680781,112024,1120.24
272,487.990915827729,110537,1105.37
273,488.075472794253,109656,1096.56
274,488.160029580599,112488,1124.88
275,488.244586187011,113036,1130.36
276,488.329142613735,111236,1112.36
277,488.413698861015,115146,1151.46
278,488.498254929097,115826,1158.26
279,488.582810818225,115396,1153.96
280,488.667366528646,115017,1150.17
281,488.751922060605,112459,1124.59
282,488.836477414345,110926,1109.26
283,488.921032590113,110470,1104.7
284,489.005587588153,111282,1112.82
285,489.090142408711,132767,1327.67
286,489.174697052032,140155,1401.55
287,489.259251518361,130841,1308.41
288,489.343805807943,122739,1227.39
289,489.428359921024,116540,1165.4
290,489.512913857847,113211,1132.11
291,489.597467618659,111720,1117.2
292,489.682021203705,119690,1196.9
293,489.76657461323,121368,1213.68
294,489.851127847479,116013,1160.13
295,489.935680906696,113890,1138.9
296,490.020233791128,112327,1123.27
297,490.104786501019,110439,1104.39
298,490.189339036615,112012,1120.12
299,490.27389139816,112322,1123.22
300,490.3584435859,110708,1107.08
301,490.44299560008,109663,1096.63
302,490.527547440945,109010,1090.1
303,490.612099108739,108531,1085.31
304,490.69665060371,108263,1082.63
305,490.7812019261,108501,1085.01
306,490.865753076156,111198,1111.98
307,490.950304054123,112072,1120.72
308,491.034854860246,110551,1105.51
309,491.119405494769,109676,1096.76
310,491.203955957939,109321,1093.21
311,491.288506249999,109251,1092.51
312,491.373056371197,109004,1090.04
313,491.457606321775,111556,1115.56
314,491.54215610198,112831,1128.31
315,491.626705712057,111196,1111.96
316,491.711255152251,110043,1100.43
317,491.795804422807,109213,1092.13
318,491.88035352397,108680,1086.8
319,491.964902455985,108977,1089.77
320,492.049451219098,111699,1116.99
321,492.133999813553,111968,1119.68
322,492.218548239596,110281,1102.81
323,492.303096497471,111576,1115.76
324,492.387644587425,113692,1136.92
325,492.472192509702,115223,1152.23
326,492.556740264546,120362,1203.62
327,492.641287852205,119689,1196.89
328,492.725835272921,114700,1147
329,492.810382526942,112401,1124.01
330,492.894929614511,118765,1187.65
331,492.979476535874,119772,1197.72
332,493.064023291276,115203,1152.03
333,493.148569880962,114024,1140.24
334,493.233116305178,112709,1127.09
335,493.317662564167,110801,1108.01
336,493.402208658177,110575,1105.75
337,493.486754587451,110479,1104.79
338,493.571300352235,109810,1098.1
339,493.655845952774,109119,1091.19
340,493.740391389313,111388,1113.88
341,493.824936662097,111908,1119.08
342,493.909481771372,112188,1121.88
343,493.994026717382,111881,1118.81
344,494.078571500372,110460,1104.6
345,494.163116120589,110054,1100.54
346,494.247660578276,109926,1099.26
347,494.33220487368,128681,1286.81
348,494.416749007044,133995,1339.95
349,494.501292978615,123983,1239.83
350,494.585836788637,117676,1176.76
351,494.670380437356,113991,1139.91
352,494.754923925017,112417,1124.17
353,494.839467251864,114286,1142.86
354,494.924010418144,114098,1140.98
355,495.0085534241,111968,1119.68
356,495.093096269979,122122,1221.22
357,495.177638956025,124461,1244.61
358,495.262181482484,120300,1203
359,495.3467238496,119150,1191.5
360,495.431266057619,116218,1162.18
361,495.515808106786,116005,1160.05
