Scan Date:,2025-05-24 15:57:41Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
66,470.567976761179,80494,804.94
67,470.652576071035,68021,680.21
68,470.737175150215,57257,572.57
69,470.821773998963,49717,497.17
70,470.906372617525,48882,488.82
71,470.990971006146,47029,470.29
72,471.075569165072,81497,814.97
73,471.160167094546,90402,904.02
74,471.244764794815,73474,734.74
75,471.329362266123,61716,617.16
76,471.413959508717,55775,557.75
77,471.498556522839,58931,589.31
78,471.583153308737,59928,599.28
79,471.667749866655,56346,563.46
80,471.752346196838,55290,552.9
81,471.836942299532,55188,551.88
82,471.921538174981,59547,595.47
83,472.00613382343,57236,572.36
84,472.090729245126,50150,501.5
85,472.175324440312,45563,455.63
86,472.259919409234,46513,465.13
87,472.344514152137,45917,459.17
88,472.429108669267,42721,427.21
89,472.513702960868,42297,422.97
90,472.598297027185,44358,443.58
91,472.682890868465,44007,440.07
92,472.767484484951,41693,416.93
93,472.852077876889,39906,399.06
94,472.936671044524,43151,431.51
95,473.021263988101,44188,441.88
96,473.105856707865,42641,426.41
97,473.190449204062,48195,481.95
98,473.275041476937,65963,659.63
99,473.359633526735,73567,735.67
100,473.4442253537,63556,635.56
101,473.528816958078,56282,562.82
102,473.613408340115,54904,549.04
103,473.697999500055,50736,507.36
104,473.782590438143,45793,457.93
105,473.867181154625,43527,435.27
106,473.951771649745,46734,467.34
107,474.03636192375,46653,466.53
108,474.120951976883,43636,436.36
109,474.20554180939,41997,419.97
110,474.290131421517,40703,407.03
111,474.374720813508,44404,444.04
112,474.459309985608,45296,452.96
113,474.543898938063,42547,425.47
114,474.628487671118,40903,409.03
115,474.713076185018,40284,402.84
116,474.797664480008,44151,441.51
117,474.882252556332,79255,792.55
118,474.966840414238,89877,898.77
119,475.051428053968,110073,1100.73
120,475.13601547577,107600,1076
121,475.220602679887,78827,788.27
122,475.305189666564,61306,613.06
123,475.389776436048,51267,512.67
124,475.474362988583,45999,459.99
125,475.558949324414,42642,426.42
126,475.643535443787,41029,410.29
127,475.728121346946,40534,405.34
128,475.812707034136,39846,398.46
129,475.897292505604,66578,665.78
130,475.981877761593,79155,791.55
131,476.066462802349,69537,695.37
132,476.151047628118,62212,622.12
133,476.235632239144,54227,542.27
134,476.320216635672,47142,471.42
135,476.404800817948,47472,474.72
136,476.489384786216,47064,470.64
137,476.573968540723,49097,490.97
138,476.658552081712,71877,718.77
139,476.74313540943,75176,751.76
140,476.827718524121,60968,609.68
141,476.91230142603,51756,517.56
142,476.996884115403,49834,498.34
143,477.081466592484,47943,479.43
144,477.166048857519,43940,439.4
145,477.250630910753,45708,457.08
146,477.335212752432,46038,460.38
147,477.419794382799,43320,433.2
148,477.504375802101,45090,450.9
149,477.588957010582,45663,456.63
150,477.673538008487,43350,433.5
151,477.758118796063,92425,924.25
152,477.842699373553,105517,1055.17
153,477.927279741204,77352,773.52
154,478.011859899259,60443,604.43
155,478.096439847965,50737,507.37
156,478.181019587566,45808,458.08
157,478.265599118308,43328,433.28
158,478.350178440435,41731,417.31
159,478.434757554193,40918,409.18
160,478.519336459827,54479,544.79
161,478.603915157582,57657,576.57
162,478.688493647704,49396,493.96
163,478.773071930436,116374,1163.74
164,478.857650006026,133735,1337.35
165,478.942227874716,94905,949.05
166,479.026805536754,85784,857.84
167,479.111382992383,78566,785.66
168,479.19596024185,67356,673.56
169,479.280537285398,58108,581.08
170,479.365114123274,49547,495.47
171,479.449690755722,44038,440.38
172,479.534267182988,41183,411.83
173,479.618843405317,39746,397.46
174,479.703419422953,42849,428.49
175,479.787995236142,48650,486.5
176,479.87257084513,47936,479.36
177,479.95714625016,44355,443.55
178,480.041721451479,42178,421.78
179,480.126296449331,41252,412.52
180,480.210871243962,44078,440.78
181,480.295445835617,44664,446.64
182,480.380020224541,45934,459.34
183,480.464594410979,45665,456.65
184,480.549168395175,47001,470.01
185,480.633742177377,46473,464.73
186,480.718315757827,43229,432.29
187,480.802889136772,41273,412.73
188,480.887462314457,40047,400.47
189,480.972035291127,39108,391.08
190,481.056608067026,43153,431.53
191,481.141180642401,58287,582.87
192,481.225753017496,59356,593.56
193,481.310325192556,50116,501.16
194,481.394897167827,48603,486.03
195,481.479468943554,46918,469.18
196,481.564040519981,43654,436.54
197,481.648611897354,41853,418.53
198,481.733183075918,40173,401.73
199,481.817754055918,43290,432.9
200,481.9023248376,43991,439.91
201,481.986895421208,45038,450.38
202,482.071465806988,84642,846.42
203,482.156035995184,93244,932.44
204,482.240605986042,73893,738.93
205,482.325175779807,61120,611.2
206,482.409745376725,51467,514.67
207,482.494314777039,45590,455.9
208,482.578883980996,42326,423.26
209,482.663452988841,40802,408.02
210,482.748021800818,39831,398.31
211,482.832590417173,39407,394.07
212,482.91715883815,43655,436.55
