0,464.9839,924684,924.684
1,465.068515076491,920776,920.776
2,465.153129906126,922693,922.693
3,465.237744489151,922645,922.645
4,465.322358825812,922374,922.374
5,465.406972916352,922045,922.045
6,465.491586761018,922156,922.156
7,465.576200360054,921873,921.873
8,465.660813713705,922270,922.27
9,465.745426822218,923616,923.616
10,465.830039685836,924354,924.354
11,465.914652304805,925125,925.125
12,465.99926467937,926176,926.176
13,466.083876809776,926892,926.892
14,466.168488696269,926857,926.857
15,466.253100339093,1469991,1469.991
16,466.337711738494,1622864,1622.864
17,466.422322894716,1335502,1335.502
18,466.506933808006,1165395,1165.395
19,466.591544478607,1067479,1067.479
20,466.676154906766,1011968,1011.968
21,466.760765092726,980122,980.122
22,466.845375036735,974869,974.869
23,466.929984739036,970164,970.164
24,467.014594199874,959481,959.481
25,467.099203419495,951893,951.893
26,467.183812398145,945712,945.712
27,467.268421136067,942217,942.217
28,467.353029633508,997244,997.244
29,467.437637890711,1013961,1013.961
30,467.522245907924,998000,998
31,467.60685368539,982201,982.201
32,467.691461223355,962633,962.633
33,467.776068522063,953266,953.266
34,467.860675581761,947261,947.261
35,467.945282402693,963006,963.006
36,468.029888985104,991917,991.917
37,468.11449532924,987586,987.586
38,468.199101435345,980136,980.136
39,468.283707303665,970995,970.995
40,468.368312934445,955869,955.869
41,468.45291832793,961081,961.081
42,468.537523484364,973286,973.286
43,468.622128403994,1067939,1067.939
44,468.706733087065,1110753,1110.753
45,468.791337533821,1058448,1058.448
46,468.875941744507,1008159,1008.159
47,468.96054571937,981180,981.18
48,469.045149458653,966017,966.017
49,469.129752962602,955007,955.007
50,469.214356231462,947249,947.249
51,469.298959265479,943548,943.548
52,469.383562064897,942874,942.874
53,469.468164629962,941870,941.87
54,469.552766960919,941112,941.112
55,469.637369058012,956036,956.036
56,469.721970921487,958979,958.979
57,469.80657255159,952436,952.436
58,469.891173948565,960083,960.083
59,469.975775112657,958422,958.422
60,470.060376044111,949401,949.401
61,470.144976743173,944955,944.955
62,470.229577210088,956006,956.006
63,470.314177445101,958222,958.222
64,470.398777448457,963682,963.682
65,470.483377220402,1058591,1058.591
66,470.567976761179,1088457,1088.457
67,470.652576071035,1042184,1042.184
68,470.737175150215,1002405,1002.405
69,470.821773998963,975491,975.491
70,470.906372617525,973498,973.498
71,470.990971006146,966951,966.951
72,471.075569165072,1090800,1090.8
73,471.160167094546,1123551,1123.551
74,471.244764794815,1062966,1062.966
75,471.329362266123,1021158,1021.158
76,471.413959508717,1000915,1000.915
77,471.498556522839,1011147,1011.147
78,471.583153308737,1013687,1013.687
79,471.667749866655,998944,998.944
80,471.752346196838,994328,994.328
81,471.836942299532,995397,995.397
82,471.921538174981,1010224,1010.224
83,472.00613382343,1001668,1001.668
84,472.090729245126,976348,976.348
85,472.175324440312,960428,960.428
86,472.259919409234,965174,965.174
87,472.344514152137,963175,963.175
88,472.429108669267,951685,951.685
89,472.513702960868,950337,950.337
90,472.598297027185,957419,957.419
91,472.682890868465,956178,956.178
92,472.767484484951,948200,948.2
93,472.852077876889,941987,941.987
94,472.936671044524,952806,952.806
95,473.021263988101,955926,955.926
96,473.105856707865,950341,950.341
97,473.190449204062,970609,970.609
98,473.275041476937,1033486,1033.486
99,473.359633526735,1060419,1060.419
100,473.4442253537,1026209,1026.209
101,473.528816958078,1001323,1001.323
102,473.613408340115,996130,996.13
103,473.697999500055,981247,981.247
104,473.782590438143,964088,964.088
105,473.867181154625,955019,955.019
106,473.951771649745,965400,965.4
107,474.03636192375,965139,965.139
108,474.120951976883,954818,954.818
109,474.20554180939,949436,949.436
110,474.290131421517,945249,945.249
111,474.374720813508,958391,958.391
112,474.459309985608,960790,960.79
113,474.543898938063,951162,951.162
114,474.628487671118,945702,945.702
115,474.713076185018,942463,942.463
116,474.797664480008,955990,955.99
117,474.882252556332,1083799,1083.799
118,474.966840414238,1121783,1121.783
119,475.051428053968,1196764,1196.764
120,475.13601547577,1187890,1187.89
121,475.220602679887,1083480,1083.48
122,475.305189666564,1020376,1020.376
123,475.389776436048,983505,983.505
124,475.474362988583,962894,962.894
125,475.558949324414,950541,950.541
126,475.643535443787,944970,944.97
127,475.728121346946,943178,943.178
128,475.812707034136,940788,940.788
129,475.897292505604,1037789,1037.789
130,475.981877761593,1082199,1082.199
131,476.066462802349,1046669,1046.669
132,476.151047628118,1021203,1021.203
133,476.235632239144,994296,994.296
134,476.320216635672,969771,969.771
135,476.404800817948,970630,970.63
136,476.489384786216,968398,968.398
137,476.573968540723,974782,974.782
138,476.658552081712,1054292,1054.292
139,476.74313540943,1064656,1064.656
140,476.827718524121,1015308,1015.308
141,476.91230142603,982818,982.818
142,476.996884115403,976689,976.689
143,477.081466592484,970618,970.618
144,477.166048857519,956514,956.514
145,477.250630910753,962983,962.983
146,477.335212752432,963673,963.673
147,477.419794382799,954010,954.01
148,477.504375802101,960456,960.456
149,477.588957010582,962775,962.775
150,477.673538008487,954234,954.234
151,477.758118796063,1126767,1126.767
152,477.842699373553,1172839,1172.839
153,477.927279741204,1073883,1073.883
154,478.011859899259,1014499,1014.499
155,478.096439847965,979316,979.316
156,478.181019587566,963109,963.109
157,478.265599118308,956351,956.351
158,478.350178440435,949278,949.278
159,478.434757554193,945750,945.75
160,478.519336459827,994892,994.892
161,478.603915157582,1006489,1006.489
162,478.688493647704,977128,977.128
163,478.773071930436,1212488,1212.488
164,478.857650006026,1273103,1273.103
165,478.942227874716,1136778,1136.778
166,479.026805536754,1102441,1102.441
167,479.111382992383,1075710,1075.71
