Scan Date:,2025-05-26 16:29:49Z
Integration Time:,1000
Number of Averages:,100

Pixel Number,Wavelength (nm),Sum Spectrum,Averaged Spectrum
0,464.9839,48865,488.65
1,465.068515076491,48057,480.57
2,465.153129906126,48179,481.79
3,465.237744489151,48225,482.25
4,465.322358825812,48430,484.3
5,465.406972916352,48294,482.94
6,465.491586761018,48121,481.21
7,465.576200360054,48306,483.06
8,465.660813713705,48317,483.17
9,465.745426822218,48175,481.75
10,465.830039685836,48305,483.05
11,465.914652304805,48486,484.86
12,465.99926467937,48458,484.58
13,466.083876809776,48494,484.94
14,466.168488696269,48429,484.29
15,466.253100339093,194662,1946.62
16,466.337711738494,236334,2363.34
17,466.422322894716,159002,1590.02
18,466.506933808006,113104,1131.04
19,466.591544478607,86808,868.08
20,466.676154906766,72010,720.1
21,466.760765092726,63271,632.71
22,466.845375036735,61654,616.54
23,466.929984739036,60268,602.68
24,467.014594199874,57525,575.25
25,467.099203419495,55556,555.56
26,467.183812398145,53925,539.25
27,467.268421136067,53077,530.77
28,467.353029633508,83536,835.36
29,467.437637890711,94210,942.1
30,467.522245907924,81994,819.94
31,467.60685368539,71902,719.02
32,467.691461223355,63485,634.85
33,467.776068522063,59082,590.82
34,467.860675581761,56416,564.16
35,467.945282402693,59664,596.64
36,468.029888985104,66472,664.72
37,468.11449532924,65121,651.21
38,468.199101435345,63153,631.53
39,468.283707303665,60704,607.04
40,468.368312934445,56849,568.49
41,468.45291832793,58202,582.02
42,468.537523484364,61615,616.15
43,468.622128403994,85687,856.87
44,468.706733087065,96565,965.65
45,468.791337533821,83110,831.1
46,468.875941744507,69993,699.93
47,468.96054571937,63058,630.58
48,469.045149458653,59174,591.74
49,469.129752962602,56484,564.84
50,469.214356231462,54582,545.82
51,469.298959265479,53717,537.17
52,469.383562064897,53502,535.02
53,469.468164629962,53331,533.31
54,469.552766960919,56235,562.35
55,469.637369058012,61061,610.61
56,469.721970921487,60240,602.4
57,469.80657255159,57450,574.5
58,469.891173948565,59131,591.31
59,469.975775112657,58581,585.81
60,470.060376044111,55574,555.74
61,470.144976743173,53916,539.16
62,470.229577210088,56790,567.9
63,470.314177445101,57723,577.23
64,470.398777448457,59459,594.59
65,470.483377220402,83661,836.61
66,470.567976761179,91012,910.12
67,470.652576071035,79138,791.38
68,470.737175150215,69158,691.58
69,470.821773998963,62286,622.86
70,470.906372617525,61553,615.53
71,470.990971006146,59762,597.62
72,471.075569165072,91715,917.15
73,471.160167094546,100229,1002.29
74,471.244764794815,84517,845.17
75,471.329362266123,73750,737.5
76,471.413959508717,68479,684.79
77,471.498556522839,71187,711.87
78,471.583153308737,71684,716.84
79,471.667749866655,68242,682.42
80,471.752346196838,67071,670.71
81,471.836942299532,67136,671.36
82,471.921538174981,71258,712.58
83,472.00613382343,69130,691.3
84,472.090729245126,62390,623.9
85,472.175324440312,58151,581.51
86,472.259919409234,59189,591.89
87,472.344514152137,58788,587.88
88,472.429108669267,55905,559.05
89,472.513702960868,55260,552.6
90,472.598297027185,57163,571.63
91,472.682890868465,57017,570.17
92,472.767484484951,54825,548.25
93,472.852077876889,53414,534.14
94,472.936671044524,56440,564.4
95,473.021263988101,57062,570.62
96,473.105856707865,55358,553.58
97,473.190449204062,60417,604.17
98,473.275041476937,76976,769.76
99,473.359633526735,84540,845.4
100,473.4442253537,75712,757.12
101,473.528816958078,69217,692.17
102,473.613408340115,67733,677.33
103,473.697999500055,63824,638.24
104,473.782590438143,59081,590.81
105,473.867181154625,56699,566.99
106,473.951771649745,59443,594.43
107,474.03636192375,59384,593.84
108,474.120951976883,56646,566.46
109,474.20554180939,55070,550.7
110,474.290131421517,54114,541.14
111,474.374720813508,57614,576.14
112,474.459309985608,58269,582.69
113,474.543898938063,55792,557.92
114,474.628487671118,54284,542.84
115,474.713076185018,53531,535.31
116,474.797664480008,57078,570.78
117,474.882252556332,89627,896.27
118,474.966840414238,99246,992.46
119,475.051428053968,117820,1178.2
120,475.13601547577,115266,1152.66
121,475.220602679887,88292,882.92
122,475.305189666564,72176,721.76
123,475.389776436048,63456,634.56
124,475.474362988583,58891,588.91
125,475.558949324414,55938,559.38
126,475.643535443787,54653,546.53
127,475.728121346946,54097,540.97
128,475.812707034136,53335,533.35
129,475.897292505604,78028,780.28
130,475.981877761593,89505,895.05
131,476.066462802349,80622,806.22
132,476.151047628118,73867,738.67
133,476.235632239144,66478,664.78
134,476.320216635672,60145,601.45
135,476.404800817948,60430,604.3
136,476.489384786216,59726,597.26
137,476.573968540723,61912,619.12
138,476.658552081712,82600,826
139,476.74313540943,85246,852.46
140,476.827718524121,72462,724.62
141,476.91230142603,63981,639.81
142,476.996884115403,62210,622.1
143,477.081466592484,60595,605.95
144,477.166048857519,56928,569.28
145,477.250630910753,58651,586.51
146,477.335212752432,58796,587.96
147,477.419794382799,56083,560.83
148,477.504375802101,58117,581.17
149,477.588957010582,58789,587.89
150,477.673538008487,56494,564.94
151,477.758118796063,101347,1013.47
152,477.842699373553,113344,1133.44
153,477.927279741204,87881,878.81
154,478.011859899259,72454,724.54
155,478.096439847965,63300,633
156,478.181019587566,58922,589.22
157,478.265599118308,56965,569.65
158,478.350178440435,55110,551.1
159,478.434757554193,54328,543.28
160,478.519336459827,67102,671.02
161,478.603915157582,70266,702.66
162,478.688493647704,62549,625.49
163,478.773071930436,123811,1238.11
164,478.857650006026,139719,1397.19
165,478.942227874716,103891,1038.91
166,479.026805536754,94719,947.19
167,479.111382992383,87849,878.49
168,479.19596024185,77822,778.22
169,479.280537285398,69413,694.13
170,479.365114123274,62011,620.11
171,479.449690755722,57193,571.93
172,479.534267182988,54640,546.4
173,479.618843405317,53246,532.46
174,479.703419422953,56088,560.88
175,479.787995236142,61124,611.24
176,479.87257084513,60334,603.34
177,479.95714625016,57217,572.17
178,480.041721451479,55393,553.93
179,480.126296449331,54575,545.75
180,480.210871243962,56826,568.26
181,480.295445835617,57433,574.33
182,480.380020224541,58821,588.21
183,480.464594410979,58372,583.72
184,480.549168395175,59320,593.2
185,480.633742177377,58971,589.71
186,480.718315757827,56147,561.47
187,480.802889136772,54521,545.21
188,480.887462314457,53556,535.56
189,480.972035291127,52894,528.94
190,481.056608067026,56914,569.14
191,481.141180642401,71142,711.42
192,481.225753017496,72172,721.72
193,481.310325192556,63229,632.29
194,481.394897167827,61557,615.57
195,481.479468943554,59918,599.18
196,481.564040519981,56940,569.4
197,481.648611897354,54896,548.96
198,481.733183075918,53294,532.94
199,481.817754055918,56204,562.04
200,481.9023248376,56858,568.58
201,481.986895421208,57980,579.8
202,482.071465806988,94403,944.03
203,482.156035995184,102483,1024.83
204,482.240605986042,85073,850.73
205,482.325175779807,73515,735.15
206,482.409745376725,64457,644.57
207,482.494314777039,59134,591.34
208,482.578883980996,56450,564.5
209,482.663452988841,55143,551.43
210,482.748021800818,54169,541.69
211,482.832590417173,54008,540.08
212,482.91715883815,57769,577.69
213,483.001727063996,61697,616.97
214,483.086295094955,60227,602.27
215,483.170862931273,57171,571.71
216,483.255430573193,55817,558.17
217,483.339998020963,58341,583.41
218,483.424565274826,58984,589.84
219,483.509132335028,56622,566.22
220,483.593699201814,54945,549.45
221,483.678265875429,57227,572.27
222,483.762832356118,57263,572.63
223,483.847398644127,54723,547.23
224,483.9319647397,56895,568.95
225,484.016530643083,69237,692.37
226,484.101096354521,70802,708.02
227,484.185661874258,63769,637.69
228,484.270227202541,59003,590.03
229,484.354792339614,56164,561.64
